raw,type,extend,xvalue,yvalue,zvalue,time,seconds
8.78E+11,1,3,-0.6847417,-7.465121,6.2871737,4689375467,4.689375467
8.78E+11,1,3,-0.80205756,-7.383718,6.6630635,4695590623,4.695590623
8.78E+11,1,3,-0.9720459,-7.261614,7.120356,4709225519,4.709225519
8.78E+11,1,3,-0.9744401,-6.9838862,7.3885064,4716618383,4.716618383
8.78E+11,1,3,-0.89782566,-7.2209125,7.5345526,4729176769,4.729176769
8.78E+11,1,3,-0.6799533,-7.9008656,7.395689,4736512446,4.736512446
8.78E+11,1,3,-0.36152446,-8.085219,7.563283,4749036925,4.749036925
8.78E+11,1,3,-0.16519992,-7.599196,7.4746976,4756415102,4.756415102
8.78E+11,1,3,-0.23942018,-6.7731967,7.1275387,4768985414,4.768985414
8.78E+11,1,3,-0.2705448,-6.2823853,6.9407907,4776316144,4.776316144
8.78E+11,1,3,-0.47884035,-4.6519337,6.459556,4788831248,4.788831248
8.78E+11,1,3,-0.6679823,-4.39336,6.3925185,4796378071,4.796378071
8.78E+11,1,3,-1.1611878,-4.9655743,6.895301,4808774008,4.808774008
8.78E+11,1,3,-1.1875241,-5.559336,7.2185183,4816112862,4.816112862
8.78E+11,1,3,-0.8690952,-7.66384,8.080431,4828609373,4.828609373
8.78E+11,1,3,-0.6919243,-8.049306,8.257602,4835990362,4.835990362
8.78E+11,1,3,-0.18195933,-7.3430166,8.042124,4848550362,4.848550362
8.78E+11,1,3,-0.1604115,-6.8785415,7.9367785,4855891560,4.85589156
8.78E+11,1,3,0.22984336,-5.645528,7.560889,4868423539,4.868423539
8.78E+11,1,3,0.2896984,-5.197812,7.66384,4875789998,4.875789998
8.78E+11,1,3,-0.12689269,-4.369418,8.008605,4888373123,4.888373123
8.78E+11,1,3,-0.5746084,-4.642357,8.341399,4895864060,4.89586406
8.78E+11,1,3,-1.0366893,-6.277597,9.32781,4908223435,4.908223435
8.78E+11,1,3,-0.8475474,-6.8450227,9.332599,4915587706,4.915587706
8.78E+11,1,3,-0.24420857,-7.1706343,8.597578,4928630675,4.928630675
8.78E+11,1,3,-0.12210429,-6.787562,8.408437,4935501404,4.935501404
8.78E+11,1,3,-0.22744916,-5.7389016,7.6949644,4948391091,4.948391091
8.78E+11,1,3,-0.30645782,-5.257667,7.422025,4955397341,4.955397341
8.78E+11,1,3,-0.7302315,-4.5992613,7.40766,4968363018,4.968363018
8.78E+11,1,3,-0.89303726,-4.783615,7.821857,4975288123,4.975288123
8.78E+11,1,3,-1.3862427,-5.7508726,8.171411,4988222550,4.98822255
8.78E+11,1,3,-1.3455414,-5.7005944,8.109161,4994077237,4.994077237
8.78E+11,1,3,-0.8738836,-6.007052,8.238448,5008103696,5.008103696
8.78E+11,1,3,-0.80205756,-6.325481,8.441956,5015093175,5.015093175
8.78E+11,1,3,-0.8810662,-6.43322,8.604761,5026411404,5.026411404
8.78E+11,1,3,-0.7350199,-5.827487,8.346188,5034999268,5.034999268
8.78E+11,1,3,-0.7158663,-4.9057193,7.8386164,5047925206,5.047925206
8.78E+11,1,3,-1.2306197,-4.3287168,7.687782,5054031716,5.054031716
8.78E+11,1,3,-1.7142484,-4.120421,7.8912888,5067820883,5.067820883
8.78E+11,1,3,-1.7525556,-4.211401,8.319851,5074806352,5.074806352
8.78E+11,1,3,-1.5035586,-4.321534,8.599973,5087892289,5.087892289
8.78E+11,1,3,-1.4437037,-4.5034933,8.556877,5093586404,5.093586404
8.78E+11,1,3,-1.5729905,-4.9081135,8.437167,5107599998,5.107599998
8.78E+11,1,3,-1.5873557,-5.1930237,8.499416,5114603071,5.114603071
8.78E+11,1,3,-1.352724,-5.140351,8.544906,5127485623,5.127485623
8.78E+11,1,3,-1.271321,-4.924873,8.403648,5134507133,5.134507133
8.78E+11,1,3,-1.3503298,-4.924873,8.499416,5147411404,5.147411404
8.78E+11,1,3,-1.4197617,-4.936844,8.492233,5154400571,5.154400571
8.78E+11,1,3,-1.5849615,-4.8458643,8.535329,5167328383,5.167328383
8.78E+11,1,3,-1.5658079,-4.8865657,8.595184,5174287654,5.174287654
8.78E+11,1,3,-1.3024458,-4.7500963,8.470686,5187165779,5.187165779
8.78E+11,1,3,-1.2617443,-4.721366,8.437167,5193095258,5.193095258
8.78E+11,1,3,-1.3455414,-5.00867,8.365341,5207102133,5.207102133
8.78E+11,1,3,-1.4053963,-5.4922986,8.429984,5214107185,5.214107185
8.78E+11,1,3,-1.352724,-5.8442464,8.803479,5227039008,5.227039008
8.78E+11,1,3,-1.2354081,-5.837064,9.153033,5233990779,5.233990779
8.78E+11,1,3,-1.127669,-5.389348,9.270349,5246896560,5.24689656
8.78E+11,1,3,-1.1827357,-4.783615,9.497798,5253887498,5.253887498
8.78E+11,1,3,-1.2066777,-4.654328,9.337387,5266459425,5.266459425
8.78E+11,1,3,-1.1803415,-4.6040497,9.193734,5273785362,5.273785362
8.78E+11,1,3,-1.163582,-4.606444,8.956709,5286319737,5.286319737
8.78E+11,1,3,-1.103727,-4.6686935,8.645462,5293884685,5.293884685
8.78E+11,1,3,-0.9911995,-4.292804,8.317456,5306224112,5.306224112
8.78E+11,1,3,-0.9552865,-4.501099,8.192958,5313576352,5.313576352
8.78E+11,1,3,-0.8355764,-5.0254292,8.576031,5326124893,5.326124893
8.78E+11,1,3,-0.6727707,-5.044583,9.196129,5333485362,5.333485362
8.78E+11,1,3,-0.7469909,-4.534618,9.069236,5346066560,5.34606656
8.78E+11,1,3,-0.79248077,-3.4356794,8.319851,5353420310,5.35342031
8.78E+11,1,3,-0.48602295,-2.2529438,7.740454,5365892654,5.365892654
8.78E+11,1,3,-0.6584055,-2.4301147,8.090008,5373279529,5.373279529
8.78E+11,1,3,-0.9696517,-3.7062242,9.198523,5385850414,5.385850414
8.78E+11,1,3,-0.7302315,-4.9320555,9.97185,5393323070,5.39332307
8.78E+11,1,3,-0.2777274,-5.2624555,10.113108,5405706039,5.405706039
8.78E+11,1,3,-0.088585466,-5.109226,10.113108,5413098591,5.413098591
8.78E+11,1,3,-0.04309563,-4.27365,9.679757,5425630779,5.425630779
8.78E+11,1,3,-0.24420857,-3.928885,9.404425,5433003122,5.433003122
8.78E+11,1,3,-0.866701,-3.0430303,8.961497,5445506716,5.445506716
8.78E+11,1,3,-0.91458505,-2.9113493,9.021352,5452897706,5.452897706
8.78E+11,1,3,-0.7302315,-2.908955,9.267955,5465422550,5.46542255
8.78E+11,1,3,-0.61291564,-2.966416,9.428367,5472795570,5.47279557
8.78E+11,1,3,-0.48602295,-2.8634653,9.52174,5485359581,5.485359581
8.78E+11,1,3,-0.58657944,-2.825158,9.425972,5491583175,5.491583175
8.78E+11,1,3,-0.7158663,-3.098097,9.13388,5505212029,5.505212029
8.78E+11,1,3,-0.7062895,-3.25372,9.272743,5512599477,5.512599477
8.78E+11,1,3,-0.61530983,-3.5122938,8.961497,5525097550,5.52509755
8.78E+11,1,3,-0.6368576,-3.514688,9.0476885,5532496716,5.532496716
8.78E+11,1,3,-0.61530983,-3.2010477,9.160215,5544999060,5.54499906
8.78E+11,1,3,-0.7541735,-3.122039,9.172187,5552398070,5.55239807
8.78E+11,1,3,-1.0007763,-2.5354595,9.672575,5564918852,5.564918852
8.78E+11,1,3,-1.0079589,-2.5785553,10.335769,5572278383,5.572278383
8.78E+11,1,3,-0.9696517,-2.303222,10.575189,5585269425,5.585269425
8.78E+11,1,3,-0.6464345,-2.0207062,9.854534,5591050414,5.591050414
8.78E+11,1,3,0.055066638,-1.0007763,9.102755,5605068383,5.605068383
8.78E+11,1,3,-0.10534488,-0.9768343,8.839393,5612070675,5.612070675
8.78E+11,1,3,-1.043872,-2.4181437,8.497022,5625008122,5.625008122
8.78E+11,1,3,-1.2378023,-2.873042,8.554482,5632004581,5.632004581
8.79E+11,1,3,-1.2569559,-3.7229836,8.286332,5644928122,5.644928122
8.79E+11,1,3,-1.0749966,-3.679888,8.12592,5651903227,5.651903227
8.79E+11,1,3,-0.8858546,-3.193865,8.437167,5664793956,5.664793956
8.79E+11,1,3,-0.92416185,-3.0142999,8.62152,5671803747,5.671803747
8.79E+11,1,3,-0.89543146,-2.9616275,8.987833,5684699164,5.684699164
8.79E+11,1,3,-0.7493851,-3.0885203,9.394848,5690577133,5.690577133
8.79E+11,1,3,-0.5530606,-3.0334535,9.722853,5704022445,5.704022445
8.79E+11,1,3,0.09816227,-2.408567,9.883265,5711610935,5.711610935
8.79E+11,1,3,0.17956513,-1.6352397,9.967062,5724502862,5.724502862
8.79E+11,1,3,-0.21068975,-1.5514427,9.763555,5731470154,5.731470154
8.79E+11,1,3,-0.39983168,-1.733402,9.739613,5744358643,5.744358643
8.79E+11,1,3,-0.38067806,-2.1021092,9.689334,5751376091,5.751376091
8.79E+11,1,3,-0.5386954,-2.147599,9.67018,5764265414,5.764265414
8.79E+11,1,3,-0.6607997,-1.9416976,9.325416,5771274633,5.771274633
8.79E+11,1,3,-0.5530606,-2.1547816,9.272743,5784219112,5.784219112
8.79E+11,1,3,-0.2633622,-2.7365725,9.648633,5790047133,5.790047133
8.79E+11,1,3,-0.16280572,-3.0358477,9.864111,5804091039,5.804091039
8.79E+11,1,3,-0.19632454,-2.7341783,9.730036,5811092654,5.811092654
8.79E+11,1,3,-0.46208093,-2.5617957,9.703699,5824048070,5.82404807
8.79E+11,1,3,-0.50038815,-2.468422,9.679757,5830967758,5.830967758
8.79E+11,1,3,-0.5650316,-2.492364,9.653421,5843837497,5.843837497
8.79E+11,1,3,-0.47405192,-2.4253263,9.576807,5850855726,5.850855726
8.79E+11,1,3,-0.6919243,-2.542642,9.552865,5863765049,5.863765049
8.79E+11,1,3,-0.78290397,-2.4396915,9.583989,5870772549,5.870772549
8.79E+11,1,3,-0.21308395,-2.0470424,9.445126,5883666560,5.88366656
8.79E+11,1,3,-0.23223756,-2.468422,9.916783,5889533851,5.889533851
8.79E+11,1,3,-0.038307227,-3.0310593,10.230424,5903260206,5.903260206
8.79E+11,1,3,-0.007182605,-3.095703,10.244789,5910596456,5.910596456
8.79E+11,1,3,0.038307227,-2.657564,9.8042555,5923081143,5.923081143
